"","technology","icc","icc.lbound","icc.ubound","kripp","fleiss","fleiss.z","fleiss.p","p.anova","num","no.coders"
"1","Social media have",0.89665211062591,0.756621804754563,0.972487114194396,0.385627297029992,0.164821607202401,5.56011349824904,2.69599267355147e-08,"< 0.05",11,11
"2","Gamification",0.90731592566455,0.774781467152418,0.978019774854445,0.362085423012189,0.108952833600248,4.83748505121715,1.31492270782907e-06,"< 0.05",14,14
"3","Tools for sensory impaired citizen scientists",0.873303741280913,0.641113326326516,0.979377595351648,0.390921301183429,0.0828571428571428,2.46588272578574,0.0136676074564579,"< 0.05",11,11
"4","Virtual reality",0.823920265780731,0.51976944260035,0.964818308673685,0.217986505829839,0.0396902226524685,0.85596451380547,0.39201740827863,"< 0.05",8,8
"5","Wildlife cameras",0.908523971769287,0.76556651462642,0.981437070776949,0.234809587999724,0.0970281940563881,4.45071308070307,8.55856260217891e-06,"< 0.05",15,15
"6","Acoustic analysis",-0.641666666666666,-6.3238944391341,0.958383939417191,0.119654148498184,-0.0739644970414202,-1.45214434985821,0.146461472528263,"< 0.05",11,11
"7","DNA-based technologies",0.923605643044619,0.822228222773728,0.979585607222249,0.406537754074333,0.203392420537897,9.23630686909844,0,"< 0.05",13,13
"8","Technologies to increase data quality and reduce uncertainty",0.763279036827196,0.364349937353134,0.952520837904466,0.302784134852383,0.0876129827444535,2.25843545170255,0.0239185245836313,"< 0.05",9,9
"9","GPS tracking devices",0.65668202764977,-0.448982168379229,0.991300077334777,0.16561039829289,0.00799654203587629,0.227917957775104,0.819710021822417,"< 0.05",15,15
"10","Low earth orbit ultrafast broadband",0.80359585694743,0.464337724543121,0.960757380929027,0.167846261437717,0.0653465346534653,1.4557626912567,0.14545823271266,"< 0.05",8,8
"11","Collective intelligence",0.332904332904333,-0.619778632857293,0.824097683668252,0.0306840268574963,0.00662251655629142,0.166989101997414,0.867378623869783,NA,8,8
"12","Open source hardware",-1.82033096926714,-6.48213358029883,0.432628369213474,-0.0860086882814155,-0.0764101517316459,-2.12322607437708,0.0337349120066688,"< 0.05",10,10
"13","Push Notifications",0.58245729303548,-0.212428077972427,0.932382292130258,0.118444290671734,-0.0121895124195033,-0.316241109277251,0.751819506915893,"< 0.05",9,9
"14","Chatbot",0.749684958185359,0.359522817863726,0.941501233058096,0.216252200843575,0.0678648899907035,1.65904478944844,0.0971067672567223,NA,8,8
"15","Augmented reality",0.194444444444445,-1.24311031244047,0.839854452475054,0.0160817279792315,0.032520325203252,0.662269883507773,0.507798274252821,"< 0.05",7,7
"16","Neural marketing",-2.5,-12.0237806682029,0.75219740406466,0.0277008648436368,-0.0679513184584179,-1.52258527974543,0.127862494858233,"< 0.05",9,9
"17","Digital twins",NA,NA,NA,0.00743159536067561,-0.0833333333333333,-1.15531614888221,0.247960985255874,"< 0.05",13,13
"18","Robots",-0.791208791208792,-7.69935990428629,0.954568410128286,0.113508279588901,-0.0714285714285714,-1.00097799534377,0.316837446817985,"< 0.05",8,8
"19","Ecological interaction approaches",0.866397849462366,0.582344424316527,0.984116032853608,0.105440112677535,0.0412371134020618,1.10733968732821,0.268147091541717,"< 0.05",11,11
"20","Machine learning",0.783546325878594,0.418772255438243,0.956585851366775,0.123793441634453,0.0258941877794337,0.631381840097857,0.527790887007139,"< 0.05",9,9
"21","Image analysis satellites",0.885555555555556,0.725633759723395,0.969703244756224,0.355736446448454,0.118183601412319,4.02937231245853,5.59259833294856e-05,"< 0.05",9,9
"22","Drones",0.941609092935146,0.823410525540074,0.993021879384094,0.383274651183967,0.166607497869923,6.32700987902452,2.49957388120947e-10,"< 0.05",15,15
"23","Adaptive sampling",0.632347388294525,0.0592930131440796,0.914079376565524,0.131564757953292,0.00811377518461118,0.231370890890245,0.817026677376452,"< 0.05",8,8
"24","Internet of things",0.661313868613139,0.143509020877703,0.911795435387344,0.147602712684348,0.0350914962325081,0.597898852745781,0.549907425434616,"< 0.05",6,6
"25","Open data and open source",0.774245472837022,0.422365422534532,0.947241039232608,0.161034384220487,0.0554644545191473,1.40272394251181,0.160699174820659,"< 0.05",8,8
"26","eNose technology",NA,NA,NA,0.357398034229218,NA,NA,NA,"< 0.05",12,12
"27","Data exchange tools",0.571428571428571,-2.45971523434381,0.999548023839798,0.194621773809239,-0.0756302521008403,-0.740108054526713,0.459234431780014,"< 0.05",8,8
"28","Visual storytelling",0.835240274599542,0.528127087987056,0.973242957326984,0.303101995100262,0.0628166160081054,1.751763098536,0.079814551913842,"< 0.05",10,10
"29","Google Street view",0.620732464307883,-0.383261417264211,0.973101515396245,0.161578049711369,-0.0236724248240563,-0.523361083441661,0.600723000655335,"< 0.05",10,10
"30","AI analysis on sensors",0.919941471571906,0.742335140591557,0.990524260984829,0.274149353845201,0.119073275862069,2.5446453159733,0.0109388785954945,"< 0.05",9,9
"31","Computational infrastructure to handle big volumes of data",0.956929637526652,0.84540500163943,0.99694113909465,0.432918094920687,0.234782608695652,6.09715271787705,1.07974362784091e-09,"< 0.05",11,11
"32","Artificial intelligence",0.825656478691347,0.596155789883793,0.953343081520465,0.17974656797153,0.0913461538461539,4.29083787856162,1.78000232631259e-05,"< 0.05",14,14
"33","Data aggregation software and visualisation and analysis tools",-0.1000481000481,-1.67103280003413,0.709935143609545,-0.00953577584297394,-0.0245647507751014,-0.655981839390624,0.511835809167828,NA,8,8
"34","Acoustic hardware",0.847207991803279,0.589718425100831,0.969354482058361,0.326266401860384,0.0894358794674141,2.43005078009386,0.0150967075226174,"< 0.05",9,9
"35","3D technology to improve CS experience",0.591973244147157,-0.241850617437029,0.951286753777362,0.119298814685699,0.000204039991838431,0.00814598836673702,0.993500513530988,"< 0.05",14,14
"36","Data analysis to reveal early signals of invasion",0.861596437136006,0.523104378301522,0.990135303059992,0.194713196280793,0.0287887017925041,1.01958590136623,0.307924894256496,"< 0.05",15,15
"37","Mobile-based data collection platforms",0.552558139534884,-0.0536992398856049,0.880883713386122,0.0312318635777943,-0.0217200674536256,-0.642403986460524,0.5206109120033,"< 0.05",11,11
"38","Advanced natural language generation",0.448318804483188,-1.4178909323584,0.986016555316071,0.158031594540068,-0.024390243902439,-0.629915539714928,0.528749845190484,"< 0.05",12,12
"39","Social media mining has",0.704948646125117,0.263577168912728,0.930562387562002,0.108763198496844,0.0223792697290931,0.719802191242464,0.471646795581701,"< 0.05",10,10
